iter	Logloss	F1:use_weights=true	F1:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
0	0.5226628965	0.8397087046	0.6617142857	0.8362775509	0.8362775509
1	0.4316762877	0.8713002909	0.615936827	0.8464965068	0.8464965068
2	0.3920305003	0.8737227119	0.623458283	0.849913404	0.849913404
3	0.3750780503	0.8707032442	0.6394145849	0.8515291609	0.8515291609
4	0.3655320559	0.8823773281	0.6198967621	0.854924382	0.854924382
5	0.3537011501	0.882930302	0.6209488023	0.8555571763	0.8555571763
6	0.3473047548	0.8830742221	0.6215326751	0.8557962106	0.8557962106
7	0.3419510976	0.8818113473	0.6260123869	0.8559926115	0.8559926115
8	0.3399464252	0.88375392	0.6114678899	0.8537931606	0.8537931606
9	0.3359190001	0.8841461438	0.6164542294	0.8553010168	0.8553010168
10	0.3306880482	0.8825977689	0.6172494172	0.8544324217	0.8544324217
11	0.3303885737	0.8835625121	0.6118511713	0.8537579521	0.8537579521
12	0.3296131078	0.8837751265	0.6161335188	0.8549670154	0.8549670154
13	0.3284928315	0.8840358181	0.6230588235	0.8568227647	0.8568227647
14	0.3278132334	0.8838468387	0.616419295	0.8550865326	0.8550865326
15	0.3277941776	0.8838952209	0.6154558075	0.8548827067	0.8548827067
16	0.3277877125	0.8841942974	0.6154913295	0.8550971909	0.8550971909
17	0.3251302969	0.8864348182	0.6152079026	0.8565740301	0.8565740301
18	0.3242615937	0.8862809324	0.6157386102	0.8565985802	0.8565985802
19	0.3239336184	0.8858899343	0.6176266482	0.8567917477	0.8567917477
20	0.3220527744	0.8862953343	0.6180892898	0.8571855076	0.8571855076
21	0.3218872352	0.8862236021	0.6178034682	0.8570659905	0.8570659905
22	0.3218812473	0.8862236021	0.6178034682	0.8570659905	0.8570659905
23	0.3204571299	0.8874284721	0.6203059805	0.8585108546	0.8585108546
24	0.3184126508	0.8884720443	0.6153142857	0.8580156608	0.8580156608
25	0.318201973	0.8892853076	0.6151390789	0.8585395962	0.8585395962
26	0.3176085702	0.8878691322	0.6209135173	0.8589643731	0.8589643731
27	0.3175913839	0.887725492	0.6203381978	0.8587253388	0.8587253388
28	0.3171884664	0.8880581699	0.6205140079	0.8589995816	0.8589995816
29	0.3166221264	0.8883906005	0.6206896552	0.8592738243	0.8592738243
30	0.3151082356	0.8880752699	0.6229050279	0.859586509	0.859586509
31	0.3131759268	0.8887138581	0.6219851577	0.8598116515	0.8598116515
32	0.3130981974	0.8891538474	0.6225933658	0.86026517	0.86026517
33	0.3119053136	0.8882284363	0.6223564955	0.8595619589	0.8595619589
34	0.3113824747	0.8883722393	0.6229355664	0.8598009932	0.8598009932
35	0.3112901454	0.8882643827	0.6225011623	0.8596217174	0.8596217174
36	0.3112840311	0.8881924928	0.6222118959	0.8595022003	0.8595022003
37	0.3102263649	0.8904005687	0.6241299304	0.8615062083	0.8615062083
38	0.3090595412	0.892185248	0.6278528179	0.8636436252	0.8636436252
39	0.3089363877	0.8924436682	0.6277338297	0.8637983509	0.8637983509
40	0.3081960477	0.8943180503	0.6271970398	0.8650009473	0.8650009473
