iter	Passed	Remaining
0	4	468
1	7	389
2	11	370
3	14	348
4	17	331
5	20	319
6	23	310
7	26	306
8	29	300
9	32	296
10	35	290
11	39	286
12	41	277
13	44	274
14	48	272
15	51	268
16	54	264
17	57	260
18	60	255
19	63	252
20	66	248
21	69	245
22	72	241
23	75	237
24	78	234
25	81	230
26	84	227
27	86	223
28	89	220
29	92	216
30	95	213
31	98	210
32	102	207
33	105	204
34	108	200
35	111	197
36	114	194
37	117	190
38	119	187
39	122	184
40	125	181
41	128	177
42	131	174
43	134	171
44	137	168
45	140	165
46	143	162
47	146	159
48	149	155
49	152	152
50	155	149
51	158	146
52	161	143
53	164	140
54	167	137
55	170	133
56	173	131
57	178	129
58	182	127
59	190	126
60	195	124
61	199	122
62	202	119
63	206	116
64	210	113
65	214	110
66	217	107
67	221	104
68	225	101
69	228	98
70	232	94
71	236	91
72	239	88
73	243	85
74	246	82
75	250	79
76	253	75
77	256	72
78	260	69
79	263	65
80	267	62
81	270	59
82	273	55
83	276	52
84	280	49
85	283	46
86	286	42
87	290	39
88	293	36
89	296	32
90	300	29
91	303	26
92	307	23
93	310	19
94	314	16
95	317	13
96	321	9
97	324	6
98	327	3
99	331	0
